Time Period,start:,2021-01-15 10:40:02,end:,
Sensors:,SDS011_1
Location:,NX01Loc_GPS,Lat-Lon,lat,lon
Interval time,30
time,lat,lon,alt,sds-pm2.5,sds-pm10,sds-TSP
2021-01-15 10:40:02,nan,nan,nan,nan,nan,nan,999
2021-01-15 10:40:33,nan,nan,nan,7.7,9.9,13.8,0
2021-01-15 10:41:03,51.565820333,0.183271667,-0.7,nan,nan,nan,999
2021-01-15 10:41:33,51.565786167,0.1831595,3.0,nan,nan,nan,999
2021-01-15 10:42:03,nan,nan,nan,7.7,9.3,13.2,0
2021-01-15 10:42:33,nan,nan,nan,nan,nan,nan,999
2021-01-15 10:43:03,nan,nan,nan,7.6,12.1,15.9,0
2021-01-15 10:43:33,51.564853,0.183194167,2.3,7.4,10.0,13.6,0
2021-01-15 10:44:03,nan,nan,nan,nan,nan,nan,999
2021-01-15 10:44:33,51.566579,0.183057167,-0.1,7.6,9.7,13.5,0
2021-01-15 10:45:03,51.565819333,0.183195167,-3.5,7.8,10.5,14.5,0
2021-01-15 10:45:33,51.5658025,0.183242833,-1.4,nan,nan,nan,999
2021-01-15 10:46:03,51.565995833,0.183201167,-1.6,nan,nan,nan,999
2021-01-15 10:46:33,51.566019167,0.183197667,-1.0,7.5,13.2,16.9,0
2021-01-15 10:47:03,51.565830167,0.1832035,-0.8,nan,nan,nan,999
2021-01-15 10:47:33,51.565729667,0.183202667,-1.6,7.4,11.1,14.7,0
2021-01-15 10:48:03,51.565878833,0.183222667,-0.3,nan,nan,nan,999
2021-01-15 10:48:33,51.565881667,0.1832325,-0.1,nan,nan,nan,999
2021-01-15 10:49:03,51.565848667,0.183251333,0.1,7.0,9.2,12.4,0
2021-01-15 10:49:33,51.565928833,0.183251,0.0,7.2,8.8,12.2,0
2021-01-15 10:50:03,51.565986833,0.1831865,0.6,nan,nan,nan,999
2021-01-15 10:50:33,51.565917167,0.183155667,-4.3,nan,nan,nan,999
