Time Period,start:,2021-01-15 15:38:52,end:,
Sensors:,SDS011_1
Location:,NX01Loc_GPS,Lat-Lon,lat,lon
Interval time,10
time,lat,lon,alt,sds-pm2.5,sds-pm10,sds-TSP
2021-01-15 15:38:52,nan,nan,nan,nan,nan,nan,999
2021-01-15 15:39:02,nan,nan,nan,nan,nan,nan,999
2021-01-15 15:39:12,nan,nan,nan,nan,nan,nan,999
2021-01-15 15:39:22,51.566073665,0.183513503,-9.52,nan,nan,nan,999
2021-01-15 15:41:02,51.565999667,0.183428,6.7,nan,nan,nan,999
2021-01-15 15:41:12,nan,nan,nan,10.3,14.9,21.4,0
2021-01-15 15:41:22,51.565930833,0.183364167,7.9,nan,nan,nan,999
2021-01-15 15:41:32,51.565992333,0.183418,6.9,nan,nan,nan,999
2021-01-15 15:41:42,51.565949167,0.183380667,7.4,nan,nan,nan,999
2021-01-15 15:41:52,51.56588,0.1833165,10.1,nan,nan,nan,999
2021-01-15 15:42:02,51.5658215,0.183256833,14.8,nan,nan,nan,999
2021-01-15 15:42:12,51.5656875,0.183141833,21.4,nan,nan,nan,999
2021-01-15 15:42:22,51.565665667,0.183117833,24.2,nan,nan,nan,999
2021-01-15 15:42:32,51.565692667,0.183132167,25.5,nan,nan,nan,999
2021-01-15 15:42:42,51.565717,0.183155,25.3,nan,nan,nan,999
2021-01-15 15:42:52,51.565738833,0.183172333,25.2,nan,nan,nan,999
2021-01-15 15:43:02,51.5656995,0.1831505,23.3,nan,nan,nan,999
2021-01-15 15:43:12,51.5657065,0.183145,23.3,nan,nan,nan,999
2021-01-15 15:43:22,51.565589551,0.183022201,nan,nan,nan,nan,999
2021-01-15 15:43:32,51.565622,0.183043,23.0,nan,nan,nan,999
2021-01-15 15:43:42,51.565724833,0.183139333,22.7,nan,nan,nan,999
2021-01-15 15:43:52,51.565829,0.183261333,21.8,nan,nan,nan,999
2021-01-15 15:44:02,51.565711833,0.183150833,21.1,nan,nan,nan,999
2021-01-15 15:44:12,51.565650667,0.183175167,20.3,nan,nan,nan,999
2021-01-15 15:44:22,51.565691333,0.183183333,18.8,nan,nan,nan,999
2021-01-15 15:44:32,51.565776667,0.183191,19.6,nan,nan,nan,999
2021-01-15 15:44:42,51.565883167,0.1832435,21.4,nan,nan,nan,999
2021-01-15 15:44:52,51.565954333,0.183295,20.0,10.8,20.3,1.7,0
2021-01-15 15:45:02,51.5654615,0.182936167,16.6,nan,nan,nan,999
2021-01-15 15:45:12,51.565443333,0.182913667,16.4,nan,nan,nan,999
2021-01-15 15:45:22,51.565714667,0.183187,14.9,nan,nan,nan,999
2021-01-15 15:45:32,51.565827333,0.1832895,14.4,nan,nan,nan,999
2021-01-15 15:45:42,51.565857333,0.183332167,15.1,6.4,15.6,18.2,0
2021-01-15 15:45:52,51.565871667,0.183369167,15.5,nan,nan,nan,999
2021-01-15 15:46:02,51.565888167,0.1833895,15.6,nan,nan,nan,999
